CTUID,Communities,Quadrant,total_weighted_CEI_Score,economic_opportunity_domain_score,accessibility_and_amenities_domain_score,population_health_domain_score,community_belonging_and_safety_domain_score,human_and_social_wellbeing_domain_score,climate_and_environment_domain_score,activity_limitation_relative_severity_perc,adult_litp,average_commute_time,average_transitscore,average_walkscore,children_perc,commute_transit_perc,commute_vehicle_perc,copd_agestd_perc,core_housing_owner_perc,core_housing_renter_perc,diabetes_agestd_perc,educ_no_cert_perc,first_generation_perc,flood_susceptibility,gender_income_ratio,income_inequality_ratio,indigenous_perc,land_surface_temp,lim_at_perc,mental_illness_agestd_perc,movers_1_year_ago,no_official_languages_perc,noise_pollution_score,park_area_perc,part_time_employment_perc,perceived_health_vg_excellent_perc,perceived_mental_vg_excellent_perc,person_crime_rate,physical_disorder_rate,population_in_poverty_perc,property_crime_rate,proximity_childcare,proximity_grocerystores,proximity_healthcare,proximity_library,proximity_neighbourhood_parks,proximity_pharmacies,proximity_primary_education,proximity_secondary_education,recent_immigration_perc,refugee_perc,regular_care_provider_yes_perc,renter_households_perc,second_generation_perc,seniors_65_perc,seniors_in_poverty_perc,seniors_living_alone_perc,sense_of_belonging_perc,single_parent_econ_dependency,single_parent_woman_perc,social_assistance_perc,social_disorder_rate,spatial_access_primary_secondary_education_transit,tree_canopy,tree_density,unemployment_rate_perc,voter_turnout_rate,working_poor_18to64_perc,youth_neet_perc
8250001.01,CANYON MEADOWS,SW,39.53,28.29,72.81,32.94,15.21,24.09,53.87,61.84,4.68,25.4,56.2,55.45,15,11.63,81.65,1.48,5.14,14.43,5.54,7.15,20.82,5,0.82,3.4,4.38,27.16,7.9,17.59,12.18,1.1,9.19,12.83,48.97,70.7,78.5,359.93,239.95,7.59,2339.53,0.18,0.02,0.03,0,0.29,0,0.1,0.05,2.82,2.1,98.6,24.29,21.11,17.2,0,17.14,57.1,33.4,13.65,3.4,4139.17,0.39,17.39,1090.89,10.89,52.07,6.48,13.64
8250001.02,LAKE BONAVISTA,SE,27.77,20.83,74.84,27.59,13.34,19.51,53.54,58.21,1.1,22.1,49.5,55.1,15.02,3.27,88.1,0.86,4.03,8,4.02,2.2,18.32,8.29,0.68,4.7,2.22,25.77,5.18,17.37,7.42,0.32,8.75,16.35,48.36,80.5,80.3,271.7,367.59,3.62,3484.1,0.08,0.05,0.06,0,0.4,0.01,0.1,0.04,1.56,1.31,91.6,15.72,21.86,27.8,1.91,20.83,63.2,15.4,5.56,0.41,3579.99,0.3,14.9,1074.68,11.85,52.08,3.21,7.2
8250001.03,"BONAVISTA DOWNS, LAKE BONAVISTA",SE,32.75,17.61,80.51,42.14,14.73,17.34,53.15,62.39,0.78,21.19,32.15,49.95,16.67,3.82,89.31,0.95,0,0,4.92,7.8,12.94,5.48,0.79,3.4,3.81,27.69,5.13,19.15,7.14,0.49,3.66,18.01,42.79,58.5,79.95,195.79,146.84,7.89,832.11,0.08,0,0.03,0,0.24,0,0.14,0,0,0,83.3,9.49,15.74,20.1,0,15.22,50,22.9,9.3,1.25,2692.12,0.21,13.61,982.08,8.25,53.02,3.85,12.82
8250001.04,QUEENSLAND,SE,42.14,27.68,78.67,52.71,16.77,24.55,51.12,63.94,2.88,25.78,33.6,41.05,15.14,6.32,87.59,1.78,5.8,12.82,6.94,9.58,20.9,7.18,0.81,3.4,4.77,26.39,7.21,20,7.38,0.81,4.66,25.56,48.54,58.5,71.53,522.62,234.28,8.12,1063.25,0.18,0.03,0.02,0,0.27,0,0.12,0.08,3.16,1.71,83.3,18.08,19.91,17.84,3.52,17.17,50,37.1,13.02,2.23,2378.81,0.21,14.03,953.6,11.61,49.43,5.3,13.21
8250001.05,LAKE BONAVISTA,SE,29.15,16.49,76.45,30.09,11.87,17.09,55.92,62.48,0.19,22.27,33.6,48.7,20.67,2.41,87.95,0.83,2.62,0,4.56,2.16,13.53,6.15,0.65,3.3,2.57,28.2,3.34,19.49,10.05,0.18,5.65,19.27,47.26,80.5,80.3,105.12,35.04,3.25,630.69,0.12,0,0.05,0,0.25,0,0.27,0.05,1.03,0.35,91.6,5.34,18.32,22.07,0,12.82,63.2,22.5,6.86,1.62,981.08,0.24,13.31,735.82,11,53.05,2.46,12.9
8250001.06,"FISH CREEK PARK, PARKLAND",SE,29.34,18.71,83.54,36.07,10.52,17.36,43.62,62.73,0.59,24,34,30.55,15.21,1.64,92.9,0.82,4.98,0,3.66,3.77,13.9,7.08,0.67,3.7,3.01,24.9,4.53,18.31,5.32,0,3.47,50.02,48.49,70.7,68.1,219.06,164.29,4.43,903.61,0.04,0,0.02,0,0.31,0,0.11,0.01,0.57,0.41,89.3,6.36,18.77,27.4,1.9,15.17,59,17.3,5.44,0.52,1697.7,0.19,19.41,515.31,9.2,58.5,2.63,10.81
8250001.07,"DEER RIDGE, FISH CREEK PARK",SE,45.49,35.19,77.49,47.02,15.67,28.08,51.2,62.55,4.89,24.06,32.4,48.7,17.9,5.61,88.05,1.65,6.09,23.19,6.45,10.17,22.47,7.42,0.83,3.5,4.71,26.36,10.26,21.74,11.45,0.61,6.95,43.33,47.06,70.7,68.1,763.36,339.27,9.69,1696.35,0.22,0.19,0.03,0,0.14,0.03,0.07,0.08,4.37,4.12,89.3,30.17,19.98,17.47,4.57,18.39,59,47.2,16.91,5.9,2629.35,0.21,12.42,590.69,15.24,50.96,5.57,18.1
8250001.08,"FISH CREEK PARK, MIDNAPORE",SE,44.69,32.82,79.14,47.94,13.21,27.94,47.08,64.97,4.82,25,45.6,50.95,15.68,5.88,87.96,1.52,6.06,27.94,5.79,6.78,22,7.34,0.84,3.6,4.49,25.37,9.98,20.04,11.95,0.93,4.43,48.04,48.8,53,73.69,642.77,428.52,8.15,2941.18,0.25,0.13,0.05,0,0.17,0,0.01,0.01,3.06,3.47,88.4,35.28,19.35,23.47,2.99,23.35,82.2,39.8,17.63,2.5,5044.8,0.22,15.14,500.99,13.15,46.39,6.14,13.04
8250001.09,"FISH CREEK PARK, WOODLANDS",SW,42.19,33.46,79.75,35.98,15.87,28.77,43.9,64.86,5.14,25.42,35.7,45,18.66,7.67,86.36,1.14,3.92,19.38,5.3,7.95,26.22,5.13,0.79,4.1,5.83,23.6,10.12,18.59,12.77,1.03,3.79,25.65,51.13,85.4,73.9,814.25,339.27,7.2,1407.97,0.16,0.04,0.05,0,0.24,0,0.06,0.02,2.83,2.4,85.3,28.21,21.42,20.87,1.21,17.89,62.4,57.3,13.93,3.85,3426.63,0.24,21.73,831.66,13.63,49.59,5.73,18.97
8250001.1,"DEER RUN, FISH CREEK PARK",SE,36.78,22.59,85.32,42.18,13.22,19.97,46.82,63.79,1.52,25.32,31.35,21.95,14.98,4.14,89.94,1.06,3.57,28.57,5.76,6.45,18.5,9.19,0.79,3.3,5.51,24.86,5.24,20.06,7.91,0.19,5.29,56.77,44.29,70.7,68.1,449.61,187.34,5.31,974.15,0.13,0.03,0.01,0,0.14,0.03,0.08,0,2.17,0,89.3,6.54,16.93,22.85,0,11.57,59,29.1,9.41,2.84,1161.48,0.15,13.67,413.48,9.89,53.25,4.31,8.82
